Site_Name,Site_Long_Name,Site_Longitude,Site_Latitude,Thompson_Vs30,3D_CVM_Vs30,Z1.0,Z2.5
"s250","s250",-118.23019,34.73694,338.35,336.2,150.0,1200.0
"s271","s271",-118.55867,34.06293,502.5,459.0,150.0,480.0
"s273","s273",-118.50604,34.14175,409.09,380.1,110.0,630.0
"s275","s275",-118.45331,34.22055,301.05,276.0,400.0,2780.0
"s277","s277",-118.40049,34.29933,638.44,456.3,170.0,1730.0
"s279","s279",-118.34757,34.37809,902.48,667.5,30.0,480.0
"s281","s281",-118.29455,34.45683,487.23,454.5,110.0,1060.0
"s283","s283",-118.24143,34.53554,715.37,650.4,60.0,540.0
"s285","s285",-118.18822,34.61423,293.71,313.2,120.0,530.0
"s287","s287",-118.1349,34.69291,293.5,291.4,180.0,1800.0
"s307","s307",-118.46399,34.01913,388.66,337.6,620.0,4880.0
"s311","s311",-118.35851,34.17667,313.47,279.9,610.0,1170.0
"s315","s315",-118.25264,34.33413,767.68,622.8,50.0,430.0
"s319","s319",-118.14637,34.49151,422.96,410.0,110.0,710.0
"s323","s323",-118.03972,34.64879,228.2,248.3,160.0,1040.0
"s345","s345",-118.36942,33.97525,407.07,349.8,580.0,4060.0
"s347","s347",-118.31666,34.05399,296.94,276.2,330.0,2090.0
